,,,"Author, editor or organization",Year derived,Title,Subtitle,Reference type,Periodical,DOI name,Volume,Number,Date,Page range,Keywords,Categories,StartDate (= Custom field 1)
TRUE,FALSE,FALSE,"Fox, Tim; Pope, Matt; Ellis, Erle C.",2017,Engineering the Anthropocene: Scalable social networks and resilience building in human evolutionary timescales,,Journal Article,The Anthropocene Review,10.1177/2053019617742415,4,3,,199–215,,"1 To do; 2.1 Human-centred; 3.2 Analogously; 4.9 Abnormal; 4.67 Interruption; 4.68 Unpredictable; 5.34 Lit. Review; 6.2.2 Review; 6.2.4 Philosophical; 7.1 Resilience; 7.4 Adaptation; 7.6 Human activity; 7.27 Extinction and evolution; 7.39 Human-environment dynamics; 8.1 Contemporary (>1900); 8.2 Historical (1500-1900); 8.3 Early Holocene (10,000-1500); 8.4 Prehistorical (<10,000); 8.5 Projected (future); 9.5 Review; 11.1 Global; 12.2.1 Earthquake; 12.4.1 Flood; 12.4.3 Drought; 12.4.17 Storm Surge; 12.7.4.1 Sea Level Rise; 13.5 Hurricane Sandy; 14.1 Social Science; 16.1 Completed; 18 Cluster 2; 21 Complete set",
TRUE,FALSE,FALSE,"Bindi, Marco; Olesen, Jørgen E.",2011,The responses of agriculture in Europe to climate change,,Journal Article,Reg Environ Change (Regional Environmental Change),10.1007/s10113-010-0173-x,11,S1,,151–158,,1 To do; 2.1 Human-centred; 3.2 Analogously; 4.14 Exposure; 4.15 Sensitivity; 5.34 Lit. Review; 6.2.2 Review; 7.1 Resilience; 7.4 Adaptation; 7.5 Climate change; 7.10 Agriculture; 7.11 Land use & landscape changes; 7.24 Vulnerability; 7.35 Capacity; 7.36 Systems; 8.1 Contemporary (>1900); 8.5 Projected (future); 9.5 Review; 11.3.19 Europe; 12.4.3 Drought; 12.4.9 Severe heat/heat wave; 12.4.11 Severe precipitation; 12.4.20 Extreme Weather Event; 13.13 2003 European heatwave; 14.1 Social Science; 16.1 Completed; 21 Complete set,
TRUE,FALSE,FALSE,"Andrade, L.; O'Malley, K.; Hynds, P.; O'Neill, E.; O'Dwyer, J.",2019,Assessment of two behavioural models (HBM and RANAS) for predicting health behaviours in response to environmental threats: Surface water flooding as a source of groundwater contamination and subsequent waterborne infection in the Republic of Ireland,,Journal Article,The Science of the total environment,10.1016/j.scitotenv.2019.06.249,685,,,1019–1029,,1 To do; 2.1 Human-centred; 3.2 Analogously; 4.38 Threat; 4.68 Unpredictable; 4.84 Sporadic; 5.19.2 Questionnaires; 6.1.1 Statistical; 6.1.2 Numerical; 7.3 Risk; 7.7 Health & psychology; 7.12 Resource security; 7.13 Human perception; 7.24 Vulnerability; 7.54 Water; 8.1 Contemporary (>1900); 8.5 Projected (future); 9.2 Discovery-driven; 10 Chronology; 11.3.16 Ireland; 12.4.1 Flood; 12.4.3 Drought; 12.4.20 Extreme Weather Event; 14.1 Social Science; 16.1 Completed; 19 Cluster 3; 21 Complete set,
TRUE,FALSE,FALSE,"Nesbitt, Jason",2016,"El Niño and second-millennium BC monument building at Huaca Cortada (Moche Valley, Peru)",,Journal Article,Antiquity,10.15184/aqy.2016.70,90,351,,638–653,,"1 To do; 2.1 Human-centred; 3.3 Subjectively/Visually; 4.2 Abrupt; 4.8 Catastrophic; 4.11 Hazard; 4.57 Unforeseen; 4.58 Change; 5.10.8 Sediment; 6.2.1 Visual; 7.21 Loss and damage; 7.25 Climate & circulation; 8.3 Early Holocene (10,000-1500); 9.2 Discovery-driven; 10 Chronology; 11.5.2.9 Peru; 12.4.1 Flood; 14.7 Palaeo Science; 16.1 Completed; 19 Cluster 3; 21 Complete set",
TRUE,FALSE,FALSE,"Rohli, Robert V.; Bushra, Nazla; Lam, Nina S. N.; Zou, Lei; Mihunov, Volodymyr; Reams, Margaret A.; Argote, Jennifer E.",2016,Drought indices as drought predictors in the south-central USA,,Journal Article,Nat Hazards (Natural Hazards),10.1007/s11069-016-2376-z,23,11,,1100,,1 To do; 2.1 Human-centred; 3.4 Statistically; 4.12 Intensity; 4.13 Impact; 4.14 Exposure; 4.52 Superlative (somethig-est); 4.62 Widespread; 4.87 Exceptional; 5.15.2 Time Series; 5.20.2 Financial Costs; 5.47 Drought Indices; 6.1.1 Statistical; 7.9 Mitigation; 7.10 Agriculture; 7.21 Loss and damage; 7.24 Vulnerability; 7.28 Industrialization & infrastructure; 7.55 Spatial Context; 7.85 Lagged effects; 8.1 Contemporary (>1900); 9.1 Hypothesis-driven; 9.2 Discovery-driven; 10 Chronology; 11.5.1.5 southcentral USA; 12.4.3 Drought; 14.2 Earth Science; 16.1 Completed; 19 Cluster 3; 21 Complete set,
TRUE,FALSE,FALSE,"Feng, Qi; Yang, Linshan; Deo, Ravinesh C.; AghaKouchak, Amir; Adamowski, Jan F.; Stone, Roger; Yin, Zhenliang; Liu, Wei; Si, Jianhua; Wen, Xiaohu; Zhu, Meng; Cao, Shixiong",2019,Domino effect of climate change over two millennia in ancient China’s Hexi Corridor,,Journal Article,Nat Sustain (Nature Sustainability),10.1038/s41893-019-0397-9,2,10,,957–961,,"1 To do; 2.1 Human-centred; 3.4 Statistically; 4.13 Impact; 4.24 Crisis; 4.28 Severe; 4.83 Perturbation; 5.13.8 Temperature; 5.15.2 Time Series; 5.43 Historical Archive/Documents; 6.1.1 Statistical; 7.1 Resilience; 7.2 Populations; 7.4 Adaptation; 7.5 Climate change; 7.7 Health & psychology; 7.10 Agriculture; 7.12 Resource security; 7.18 Prediction; 7.22 Socio/Politico/Cultural Context; 7.24 Vulnerability; 7.29 Attribution; 7.31 Conflict; 7.67 Feedbacks; 7.88 Casual cascade; 8.1 Contemporary (>1900); 8.2 Historical (1500-1900); 8.3 Early Holocene (10,000-1500); 9.2 Discovery-driven; 10 Chronology; 11.4.1 China; 12.4.7 Severe cold; 13.32 Little Ice Age; 14.7 Palaeo Science; 16.1 Completed; 17 Cluster 1; 21 Complete set",
TRUE,FALSE,FALSE,"Parasiewicz, Piotr",2007,Using MesoHABSIM to develop reference habitat template and ecological management scenarios,,Journal Article,River Res. Applic. (River Research and Applications),10.1002/rra.1044,23,8,,924–932,,"1 To do; 2.2 Env. centred; 2.3 Policy; 3.1 Quantitatively; 4.8 Catastrophic; 4.16 Disturbance; 4.20 Frequency; 4.23 Overwhelm/Threshold; 4.32 Rare; 4.51 Duration; 4.74 Critical; 5.25 Land use; 5.35 Habitat Simulation, River Ecology; 6.1.2 Numerical; 7.6 Human activity; 7.8 Management; 7.26 Ecology and ecosystems; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 11.1 Global; 12.8.9 Biodiversity Loss; 14.4 Ecology; 16.1 Completed; 18 Cluster 2; 21 Complete set",
TRUE,FALSE,FALSE,"Hulme, Mike",2014,Attributing weather extremes to ‘climate change’,,Journal Article,Progress in Physical Geography: Earth and Environment,10.1177/0309133314538644,38,4,,499–511,,1 To do; 2.2 Env. centred; 2.3 Policy; 3.2 Analogously; 4.17 Magnitude; 4.20 Frequency; 4.23 Overwhelm/Threshold; 5.34 Lit. Review; 6.2.2 Review; 7.3 Risk; 7.4 Adaptation; 7.5 Climate change; 7.6 Human activity; 7.7 Health & psychology; 7.13 Human perception; 7.21 Loss and damage; 7.22 Socio/Politico/Cultural Context; 7.23 Complex; 7.24 Vulnerability; 7.25 Climate & circulation; 7.28 Industrialization & infrastructure; 7.29 Attribution; 7.39 Human-environment dynamics; 7.51 Uncertainty (data); 7.53 Trending Extremes; 7.69 Human agency; 7.72 Insurance; 7.78 Litigation; 7.79 Counterfactuals; 8.1 Contemporary (>1900); 9.5 Review; 11.1 Global; 12.4.1 Flood; 12.4.5.1 Cyclone; 12.4.9 Severe heat/heat wave; 12.4.20 Extreme Weather Event; 14.3 Climate Science; 16.1 Completed; 17 Cluster 1; 21 Complete set,
TRUE,FALSE,FALSE,"Porter, Ellen M.; Bowman, William D.; Clark, Christopher M.; Compton, Jana E.; Pardo, Linda H.; Soong, Jenny L.",2013,Interactive effects of anthropogenic nitrogen enrichment and climate change on terrestrial and aquatic biodiversity,,Journal Article,Biogeochemistry,10.1007/s10533-012-9803-3,114,1-3,,93–120,,1 To do; 2.2 Env. centred; 2.3 Policy; 3.3 Subjectively/Visually; 4.4 Rapid; 4.12 Intensity; 4.15 Sensitivity; 4.16 Disturbance; 4.17 Magnitude; 4.20 Frequency; 4.65 Unprecedented; 4.66 Multiplicative (x times more); 5.34 Lit. Review; 6.2.2 Review; 7.3 Risk; 7.5 Climate change; 7.8 Management; 7.10 Agriculture; 7.12 Resource security; 7.26 Ecology and ecosystems; 7.28 Industrialization & infrastructure; 7.36 Systems; 8.1 Contemporary (>1900); 9.5 Review; 11.5.1.18 US; 12.3.1 Climate Change; 12.8.8 Nitrogen Enrichment; 12.8.9 Biodiversity Loss; 14.4 Ecology; 16.1 Completed; 19 Cluster 3; 21 Complete set,
TRUE,FALSE,FALSE,"Hunt, J. C. R.",2002,Floods in a changing climate: a review,,Journal Article,"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences",10.1098/rsta.2002.1016,360,1796,,1531–1543,,1 To do; 2.2 Env. centred; 2.3 Policy; 3.3 Subjectively/Visually; 4.6 Disaster; 4.11 Hazard; 4.20 Frequency; 4.32 Rare; 4.63 Serious; 4.77 Extreme event; 5.34 Lit. Review; 6.2.2 Review; 7.3 Risk; 7.4 Adaptation; 7.5 Climate change; 7.8 Management; 7.9 Mitigation; 7.18 Prediction; 7.24 Vulnerability; 7.25 Climate & circulation; 7.38 Sustainability; 7.41 Scale; 7.53 Trending Extremes; 8.1 Contemporary (>1900); 8.5 Projected (future); 9.5 Review; 11.1 Global; 12.4.1 Flood; 13.76 Mozambique 2000 and 2001 flood; 13.77 UK 2000-2002 floods; 14.2 Earth Science; 14.5 Hydrology; 16.1 Completed; 17 Cluster 1; 21 Complete set,
TRUE,FALSE,FALSE,"Yuan, Xing; Wang, Linying; Wu, Peili; Ji, Peng; Sheffield, Justin; Zhang, Miao",2019,Anthropogenic shift towards higher risk of flash drought over China,,Journal Article,Nature communications,10.1038/s41467-019-12692-7,10,1,,4661,,1 To do; 2.2 Env. centred; 2.3 Policy; 3.4 Statistically; 4.4 Rapid; 4.10 Anomalous; 4.12 Intensity; 4.13 Impact; 4.23 Overwhelm/Threshold; 4.28 Severe; 4.51 Duration; 4.53 Compounding; 5.13.1 Climate Models (simulation); 6.1.1 Statistical; 7.3 Risk; 7.4 Adaptation; 7.5 Climate change; 7.7 Health & psychology; 7.14 Early warning systems (EWS); 7.29 Attribution; 7.38 Sustainability; 7.45 Hot-spots; 8.1 Contemporary (>1900); 8.5 Projected (future); 9.2 Discovery-driven; 11.4.1 China; 12.4.3.1 Flash Drought; 14.2 Earth Science; 16.1 Completed; 19 Cluster 3; 21 Complete set,
TRUE,FALSE,FALSE,"MAYEWSKI, P. A.; SNEED, S. B.; BIRKEL, S. D.; KURBATOV, A. V.; MAASCH, K. A.",2014,Holocene warming marked by abrupt onset of longer summers and reduced storm frequency around Greenland,,Journal Article,J. Quaternary Sci. (Journal of Quaternary Science),10.1002/jqs.2684,29,1,,99–104,,"1 To do; 2.2 Env. centred; 3.1 Quantitatively; 3.3 Subjectively/Visually; 4.2 Abrupt; 4.13 Impact; 4.29 Dramatic effect; 4.60 Transition; 5.9.5 Trace Elements; 5.15.2 Time Series; 6.1.2 Numerical; 6.2.1 Visual; 7.5 Climate change; 8.3 Early Holocene (10,000-1500); 8.4 Prehistorical (<10,000); 8.5 Projected (future); 9.2 Discovery-driven; 11.1 Global; 12.3.3 Glacial-Interglacial; 13.30 YD-Holocene; 13.31 Medieval Warm Period; 13.32 Little Ice Age; 14.7 Palaeo Science; 16.1 Completed; 20 Cluster 4; 21 Complete set",
TRUE,FALSE,FALSE,"Bügelmayer-Blaschek, Marianne; Roche, Didier M.; Renssen, Hans; Andrews, John T.",2016,Internal ice-sheet variability as source for the multi-century and millennial-scale iceberg events during the Holocene? A model study,,Journal Article,Quaternary Science Reviews,10.1016/j.quascirev.2016.01.026,138,,,119–130,,"1 To do; 2.2 Env. centred; 3.1 Quantitatively; 3.3 Subjectively/Visually; 4.4 Rapid; 4.18 High-magnitude; 4.20 Frequency; 4.44 Disruption; 5.13.1 Climate Models (simulation); 6.1.1 Statistical; 6.1.2 Numerical; 7.5 Climate change; 7.25 Climate & circulation; 7.29 Attribution; 7.48 Thresholds/Tipping points; 7.50 Solar output; 7.61 Cycles; 7.65 Spectral Analysis (Frequency Extraction); 7.67 Feedbacks; 8.1 Contemporary (>1900); 8.2 Historical (1500-1900); 8.3 Early Holocene (10,000-1500); 9.3 Question-driven; 10 Chronology; 11.1 Global; 12.3.2 Climatic cooling (e.g., 4.2 ka event); 12.3.5 Ice Rafted Debris (Bond); 12.4.7 Severe cold; 13.50 Bond Events; 14.7 Palaeo Science; 16.1 Completed; 20 Cluster 4; 21 Complete set",
TRUE,FALSE,FALSE,"Wang, Jianhua; Jiang, Dong; Huang, Yaohuan; Wang, Hao",2014,Drought analysis of the Haihe river basin based on GRACE terrestrial water storage,,Journal Article,TheScientificWorldJournal,10.1155/2014/578372,2014,,,578372,,"1 To do; 2.2 Env. centred; 3.1 Quantitatively; 3.3 Subjectively/Visually; 4.10 Anomalous; 4.20 Frequency; 4.28 Severe; 4.52 Superlative (somethig-est); 4.56 Maximum; 4.76 Extremes; 4.77 Extreme event; 5.13.10 Precipitation; 5.14.1 Terrestrial Water Storage Index; 5.15.2 Time Series; 5.17.1 Vegetation Index; 6.1 Quantitative; 7.10 Agriculture; 7.11 Land use & landscape changes; 7.21 Loss and damage; 7.28 Industrialization & infrastructure; 7.39 Human-environment dynamics; 7.54 Water; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 10 Chronology; 11.4.1.9 Haihe River Basin, North China; 12.4.3 Drought; 14.2 Earth Science; 16.1 Completed; 19 Cluster 3; 21 Complete set",
TRUE,FALSE,FALSE,"Zhang, Ying; Li, Zhengqiang; Cuesta, Juan; Li, Donghui; Wei, Peng; Xie, Yisong; Li, Lei",2015,Aerosol Column Size Distribution and Water Uptake Observed during a Major Haze Outbreak over Beijing on January 2013,,Journal Article,Aerosol Air Qual. Res. (Aerosol and Air Quality Research),10.4209/aaqr.2014.05.0099,15,3,,945–957,,"1 To do; 2.2 Env. centred; 3.1 Quantitatively; 3.4 Statistically; 4.4 Rapid; 4.63 Serious; 4.66 Multiplicative (x times more); 4.96 Dramatic Growth; 4.97 Remarkable; 5.11.1 Air Pollution Levels; 5.11.4 Aerosol Concentrations; 5.15.2 Time Series; 6.1.1 Statistical; 7.5 Climate change; 7.7 Health & psychology; 7.59 Pollution; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 10 Chronology; 11.4.1.7 Beijing, China; 12.5.2 Air Quality Decrease; 12.5.5 Pollution / chemicals leaks; 14.3 Climate Science; 16.1 Completed; 20 Cluster 4; 21 Complete set",
TRUE,FALSE,FALSE,"Kirchmeier-Young, Megan C.; Zwiers, Francis W.; Gillett, Nathan P.; Cannon, Alex J.",2017,Attributing extreme fire risk in Western Canada to human emissions,,Journal Article,CLIMATIC CHANGE,10.1007/s10584-017-2030-0,144,2,,365–379,,1 To do; 2.2 Env. centred; 3.1 Quantitatively; 3.4 Statistically; 4.13 Impact; 4.17 Magnitude; 4.19 frequency-magnitude; 4.23 Overwhelm/Threshold; 4.48 Exceedence; 4.77 Extreme event; 5.2.7 Fire database; 5.13.1 Climate Models (simulation); 5.15.2 Time Series; 5.24 Indeces (Composite); 6.1.1 Statistical; 7.3 Risk; 7.5 Climate change; 7.29 Attribution; 7.48 Thresholds/Tipping points; 7.53 Trending Extremes; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 10 Chronology; 11.5.1.7 Western Canada; 12.8.1 Fire; 13.66 Fort McMurray Fire 2016; 14.2 Earth Science; 16.1 Completed; 21 Complete set,
TRUE,FALSE,FALSE,"Vergari, F.; Della Seta, M.; Del Monte, M.; Fredi, P.; Lupia Palmieri, E.",2013,Long- and short-term evolution of several Mediterranean denudation hot spots: The role of rainfall variations and human impact,,Journal Article,Geomorphology,10.1016/j.geomorph.2012.08.002,183,,,14–27,,1 To do; 2.2 Env. centred; 3.1 Quantitatively; 4.4 Rapid; 4.13 Impact; 4.17 Magnitude; 4.18 High-magnitude; 5.10.8 Sediment; 5.13.10 Precipitation; 6.1.2 Numerical; 7.6 Human activity; 7.11 Land use & landscape changes; 7.17 Habitat destruction; 7.39 Human-environment dynamics; 7.45 Hot-spots; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 10 Chronology; 11.3.7 Italy; 12.4.11.2 Rainfall; 12.7.3 Denudation (water erosion); 14.2 Earth Science; 16.1 Completed; 18 Cluster 2; 21 Complete set,
TRUE,FALSE,FALSE,"Gosling, William D.; Bush, Mark B.; Hanselman, Jennifer A.; Chepstow-Lusty, Alex",2008,Glacial-interglacial changes in moisture balance and the impact on vegetation in the southern hemisphere tropical Andes (Bolivia/Peru),,Journal Article,"Palaeogeography, Palaeoclimatology, Palaeoecology",10.1016/j.palaeo.2007.02.050,259,1,,35–50,,"1 To do; 2.2 Env. centred; 3.1 Quantitatively; 4.4 Rapid; 4.13 Impact; 4.17 Magnitude; 4.42 Significant; 4.46.1 Major...change; 4.60 Transition; 4.76 Extremes; 4.87 Exceptional; 4.100 Peak; 5.4.4 Pollen; 5.14.5 Water level/flow; 5.15.2 Time Series; 6.1.2 Numerical; 6.2.6 Interpretive; 7.5 Climate change; 7.25 Climate & circulation; 7.26 Ecology and ecosystems; 7.61 Cycles; 8.4 Prehistorical (<10,000); 9.2 Discovery-driven; 10 Chronology; 11.5.2.2 Lake Titicaca; 12.3.3 Glacial-Interglacial; 14.4 Ecology; 16.1 Completed; 20 Cluster 4; 21 Complete set",
TRUE,FALSE,FALSE,"Guo, Aijun; Chang, Jianxia; Wang, Yimin; Huang, Qiang; Guo, Zhihui; Zhou, Shuai",2018,"Bivariate frequency analysis of flood and extreme precipitation under changing environment: case study in catchments of the Loess Plateau, China",,Journal Article,Stoch Environ Res Ris Assess (Stochastic Environmental Research and Risk Assessment),10.1007/s00477-017-1478-9,32,7,,2057–2074,,1 To do; 2.2 Env. centred; 3.1 Quantitatively; 4.6 Disaster; 4.17 Magnitude; 4.20 Frequency; 4.56 Maximum; 4.58 Change; 5.2.6 Flood Event Records; 5.13.10 Precipitation; 5.15.2 Time Series; 5.25 Land use; 6.1.1 Statistical; 7.3 Risk; 7.5 Climate change; 7.6 Human activity; 7.8 Management; 7.26 Ecology and ecosystems; 7.39 Human-environment dynamics; 7.51 Uncertainty (data); 7.53 Trending Extremes; 7.54 Water; 7.63 Extreme Value Theory (EVT); 7.65 Spectral Analysis (Frequency Extraction); 7.71 Extreme Event Statistics; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 10 Chronology; 11.4.1.8 Lowess Plateau China; 12.4.1 Flood; 12.4.11 Severe precipitation; 14.2 Earth Science; 16.1 Completed; 18 Cluster 2; 21 Complete set,
TRUE,FALSE,FALSE,"Benson, Barbara J.; Magnuson, John J.; Jensen, Olaf P.; Card, Virginia M.; Hodgkins, Glenn; Korhonen, Johanna; Livingstone, David M.; Stewart, Kenton M.; Weyhenmeyer, Gesa A.; Granin, Nick G.",2012,"Extreme events, trends, and variability in Northern Hemisphere lake-ice phenology (1855–2005)",,Journal Article,CLIMATIC CHANGE,10.1007/s10584-011-0212-8,112,2,,299–323,,1 To do; 2.2 Env. centred; 3.1 Quantitatively; 4.8 Catastrophic; 4.13 Impact; 4.20 Frequency; 4.52 Superlative (somethig-est); 4.58 Change; 4.76 Extremes; 5.13.8 Temperature; 5.15.2 Time Series; 5.43 Historical Archive/Documents; 5.48 Lake ice timing; 6.1.1 Statistical; 7.1 Resilience; 7.5 Climate change; 7.16 Equilibrium; 7.21 Loss and damage; 7.26 Ecology and ecosystems; 7.41 Scale; 7.53 Trending Extremes; 8.1 Contemporary (>1900); 8.2 Historical (1500-1900); 9.3 Question-driven; 10 Chronology; 11.11 Northern Hemisphere; 12.4.22 Lake Ice Timing and Duration; 14.2 Earth Science; 16.1 Completed; 20 Cluster 4; 21 Complete set,
TRUE,FALSE,FALSE,"R. Christy, John",2019,Examination of Extreme Rainfall Events in Two Regions of the United States since the 19th Century,,Journal Article,AIMS Environmental Science,10.3934/environsci.2019.2.109,6,2,,109–126,,1 To do; 2.2 Env. centred; 3.1 Quantitatively; 4.17 Magnitude; 4.23 Overwhelm/Threshold; 4.75 Time-window; 5.15.2 Time Series; 6.1.1 Statistical; 6.1.2 Numerical; 7.5 Climate change; 7.25 Climate & circulation; 7.29 Attribution; 7.53 Trending Extremes; 7.57 Characterizing Extreme Events; 8.1 Contemporary (>1900); 8.2 Historical (1500-1900); 9.1 Hypothesis-driven; 10 Chronology; 11.5.1.18 US; 12.4.11.2 Rainfall; 14.3 Climate Science; 16.1 Completed; 20 Cluster 4; 21 Complete set,
TRUE,FALSE,FALSE,"Gado, Tamer A.; El-Hagrsy, Rufayda M.; Rashwan, I. M. H.",2019,Spatial and temporal rainfall changes in Egypt,,Journal Article,Environmental science and pollution research international,10.1007/s11356-019-06039-4,26,27,,28228–28242,,1 To do; 2.2 Env. centred; 3.1 Quantitatively; 4.17 Magnitude; 4.56 Maximum; 5.13.10 Precipitation; 5.15.2 Time Series; 6.1.1 Statistical; 7.5 Climate change; 7.53 Trending Extremes; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 10 Chronology; 11.6.5 Egypt; 12.4.11 Severe precipitation; 12.4.11.2 Rainfall; 14.3 Climate Science; 16.1 Completed; 20 Cluster 4; 21 Complete set,
TRUE,FALSE,FALSE,"Justić, Dubravko; Turner, R. Eugene; Rabalais, Nancy N.",2003,Climatic influences on riverine nitrate flux: Implications for coastal marine eutrophication and hypoxia,,Journal Article,Estuaries,10.1007/BF02691688,26,1,,1–11,,1 To do; 2.2 Env. centred; 3.2 Analogously; 3.3 Subjectively/Visually; 4.2 Abrupt; 4.10 Anomalous; 4.20 Frequency; 4.69 Shift; 5.9.2 Nitrate Concentration; 5.14.4 River Discharge Values; 5.15.2 Time Series; 6.1.1 Statistical; 7.5 Climate change; 7.26 Ecology and ecosystems; 8.1 Contemporary (>1900); 9.1 Hypothesis-driven; 10 Chronology; 11.5.1.17 Mississippi River; 12.4.1 Flood; 14.2 Earth Science; 14.5 Hydrology; 16.1 Completed; 20 Cluster 4; 21 Complete set,
TRUE,FALSE,FALSE,"Mitchell, John F. B.; Lowe, Jason; Wood, Richard A.; Vellinga, Michael",2006,Extreme events due to human-induced climate change,,Journal Article,"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences",10.1098/rsta.2006.1816,364,1845,,2117–2133,,1 To do; 2.2 Env. centred; 3.2 Analogously; 3.3 Subjectively/Visually; 4.4 Rapid; 4.8 Catastrophic; 4.11 Hazard; 4.28 Severe; 4.39 Destructive; 4.49 Nonlinearity; 4.69 Shift; 5.13.1 Climate Models (simulation); 5.13.8 Temperature; 5.15.2 Time Series; 5.34 Lit. Review; 6.2.2 Review; 7.5 Climate change; 7.7 Health & psychology; 7.25 Climate & circulation; 7.29 Attribution; 7.48 Thresholds/Tipping points; 7.51 Uncertainty (data); 7.53 Trending Extremes; 7.67 Feedbacks; 8.1 Contemporary (>1900); 8.5 Projected (future); 9.4 Persuasion; 11.1 Global; 12.4.1 Flood; 12.4.5 Hurricane; 12.4.9 Severe heat/heat wave; 12.4.12 Precipitation extremes; 12.4.17 Storm Surge; 12.4.20 Extreme Weather Event; 12.7.4.1 Sea Level Rise; 13.3 Hurricane Katrina; 13.13 2003 European heatwave; 14.2 Earth Science; 16.1 Completed; 20 Cluster 4; 21 Complete set,
TRUE,FALSE,FALSE,"Wang, Ai-Jun; Kawser, Ahmed; Xu, Yong-Hang; Ye, Xiang; Rani, Seema; Chen, Ke-Liang",2016,"Heavy metal accumulation during the last 30 years in the Karnaphuli River estuary, Chittagong, Bangladesh",,Journal Article,SpringerPlus,10.1186/s40064-016-3749-1,5,1,,2079,,"1 To do; 2.2 Env. centred; 3.2 Analogously; 4.8 Catastrophic; 5.9.4 Heavy Metal Concentrations; 5.10.8 Sediment; 5.15.2 Time Series; 5.24 Indeces (Composite); 6.1.2 Numerical; 7.6 Human activity; 7.28 Industrialization & infrastructure; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 10 Chronology; 11.4.12.1 Chittagong, Bangaladesh; 12.4.5.1 Cyclone; 12.4.11.2 Rainfall; 12.7.1 Landslide/debris flow; 13.34 Cyclone Akash; 14.2 Earth Science; 16.1 Completed; 18 Cluster 2; 21 Complete set",
TRUE,FALSE,FALSE,"Azuara, J.; Combourieu-Nebout, N.; Lebreton, V.; Mazier, F.; Müller, S. D.; Dezileau, L.",2015,Late Holocene vegetation changes in relation with climate fluctuations and human activity in Languedoc (southern France),,Journal Article,Clim. Past (Climate of the Past),10.5194/cp-11-1769-2015,11,12,,1769–1784,,"1 To do; 2.2 Env. centred; 3.3 Subjectively/Visually; 4.4 Rapid; 4.15 Sensitivity; 4.24 Crisis; 4.25 Sharp; 4.46.1 Major...change; 4.60 Transition; 5.3.6 Faunal abundance; 5.4.4 Pollen; 5.10.6 Sediment (grain size); 5.15.2 Time Series; 6.1.2 Numerical; 6.2.1 Visual; 7.2 Populations; 7.5 Climate change; 7.6 Human activity; 7.10 Agriculture; 7.11 Land use & landscape changes; 7.17 Habitat destruction; 7.19 Cultural change; 7.24 Vulnerability; 7.25 Climate & circulation; 7.26 Ecology and ecosystems; 7.29 Attribution; 7.61 Cycles; 8.1 Contemporary (>1900); 8.2 Historical (1500-1900); 8.3 Early Holocene (10,000-1500); 9.2 Discovery-driven; 10 Chronology; 11.3.17.1 Languedoc, S France; 12.3.1 Climate Change; 12.3.6 Arid Event (Climatic); 12.10.2 NAO; 13.20 Heinrich Event; 13.50 Bond Events; 14.7 Palaeo Science; 16.1 Completed; 20 Cluster 4; 21 Complete set",
