AU;TI;SO;TC;PY;VL;IS;BP;EP;DOI
"Raskob, W; Mohrle, S; Bai, S";Knowledge database and case-based reasoning;RADIOPROTECTION;1;2016;51;HS2;S185;S186;https://doi.org/10.1051/radiopro/2016069
"Hu, JF; Zhao, GJ; Mu, XM; Tian, P; Gao, P; Sun, WY";Quantifying the impacts of human activities on runoff and sediment load changes in a Loess Plateau catchment, China;JOURNAL OF SOILS AND SEDIMENTS;0;2019;19;11;3866;3880;https://doi.org/10.1007/s11368-019-02353-z
"Connor, RF; Hiroki, K";Development of a method for assessing flood vulnerability;WATER SCIENCE AND TECHNOLOGY;37;2005;51;5;61;67;https://doi.org/
"Holmes, J; Lowe, J; Wolff, E; Srokosz, M";Rapid climate change: lessons from the recent geological past;GLOBAL AND PLANETARY CHANGE;16;2011;79;04. Mar;157;162;https://doi.org/10.1016/j.gloplacha.2010.10.005
"Staley, ZR; Chuong, JD; Hill, SJ; Grabuski, J; Shokralla, S; Hajibabaei, M; Edge, TA";Fecal source tracking and eDNA profiling in an urban creek following an extreme rain event;SCIENTIFIC REPORTS;3;2018;8;;;;https://doi.org/10.1038/s41598-018-32680-z
"Khouakhi, A; Snoussi, M; Niazi, S; Raji, O";Vulnerability assessment of Al Hoceima bay (Moroccan Mediterranean coast): a coastal management tool to reduce potential impacts of sea-level rise and storm surges;JOURNAL OF COASTAL RESEARCH;7;2013;;;968;973;https://doi.org/10.2112/SI65-164.1
"Stelkens, RB; Brockhurst, MA; Hurst, GDD; Miller, EL; Greig, D";The effect of hybrid transgression on environmental tolerance in experimental yeast crosses;JOURNAL OF EVOLUTIONARY BIOLOGY;19;2014;27;11;2507;2519;https://doi.org/10.1111/jeb.12494
"Nummenmaa, L; Hietanen, JK; Calvo, MG; Hyona, J";Food Catches the Eye but Not for Everyone: A BMI-Contingent Attentional Bias in Rapid Detection of Nutriments;PLOS ONE;38;2011;6;5;;;https://doi.org/10.1371/journal.pone.0019215
"Asbjornsen, H; Ashton, MS; Vogt, DJ; Palacios, S";Effects of habitat fragmentation on the buffering capacity of edge environments in a seasonally dry tropical oak forest ecosystem in Oaxaca, Mexico;AGRICULTURE ECOSYSTEMS & ENVIRONMENT;33;2004;103;3;481;495;https://doi.org/10.1016/j.agee.2003.11.008
"Sabbagh, A; Marin, J; Veyssiere, C; Lecompte, E; Boukouvala, S; Poloni, ES; Darlu, P; Crouau-Roy, B";Rapid birth-and-death evolution of the xenobiotic metabolizing NAT gene family in vertebrates with evidence of adaptive selection;BMC EVOLUTIONARY BIOLOGY;25;2013;13;;;;https://doi.org/10.1186/1471-2148-13-62
"Zobel, Z; Wang, JL; Wuebbles, DJ; Kotamarthi, VR";High-Resolution Dynamical Downscaling Ensemble Projections of Future Extreme Temperature Distributions for the United States;EARTHS FUTURE;8;2017;5;12;1234;1251;https://doi.org/10.1002/2017EF000642
"Davies, GI; McIver, L; Kim, Y; Hashizume, M; Iddings, S; Chan, V";Water-Borne Diseases and Extreme Weather Events in Cambodia: Review of Impacts and Implications of Climate Change;INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;23;2015;12;1;191;213;https://doi.org/10.3390/ijerph120100191
"Ghosh, N; Hazra, S";Sensitivity Analysis with Calibration of Natural Resource Variables under Climate Change: Comparing Computable General Equilibrium (CGE) and Econometric Frameworks;NATURAL RESOURCES MANAGEMENT: CONCEPTS, METHODOLOGIES, TOOLS, AND APPLICATIONS;0;2017;;;681;691;https://doi.org/10.4018/978-1-5225-0803-8.ch031
"Gupta, S; Collier, JS; Palmer-Felgate, A; Potter, G";Catastrophic flooding origin of shelf valley systems in the English Channel;NATURE;147;2007;448;7151;342;U5;https://doi.org/10.1038/nature06018
"Stoupel, E; Babayev, ES; Shustarev, PN; Abramson, E; Israelevich, P; Sulkes, J";Traffic accidents and environmental physical activity;INTERNATIONAL JOURNAL OF BIOMETEOROLOGY;8;2009;53;6;523;534;https://doi.org/10.1007/s00484-009-0240-5
"SHAW, PA; THOMAS, DSG; NASH, DJ";LATE QUATERNARY FLUVIAL ACTIVITY IN THE DRY VALLEYS (MEKGACHA) OF THE MIDDLE AND SOUTHERN KALAHARI, SOUTHERN AFRICA;JOURNAL OF QUATERNARY SCIENCE;35;1992;7;4;273;281;https://doi.org/10.1002/jqs.3390070402
"Atta-Ur-Rahman; Shaw, R";Flood Risk and Reduction Approaches in Pakistan;DISASTER RISK REDUCTION APPROACHES IN PAKISTAN;0;2015;;;77;100;https://doi.org/10.1007/978-4-431-55369-4_4
"Cote, SA; Ross, HC; David, K; Wolfe, SE";Walkerton revisited: how our psychological defenses may influence responses to water crises;ECOLOGY AND SOCIETY;2;2017;22;3;;;https://doi.org/10.5751/ES-09616-220332
Trenberth, KE;Framing the way to relate climate extremes to climate change;CLIMATIC CHANGE;125;2012;115;2;283;290;https://doi.org/10.1007/s10584-012-0441-5
"Bergada, MM; Cervello, JM; Edo, M; Cebria, A; Oms, FX; Martinez, P; Antolin, F; Morales, JI; Pedro, M";Chronostratigraphy in karst records from the Epipaleolithic to the Mid/Early Neolithic (c. 13.0-6.0 cal ka BP) in the Catalan Coastal Ranges of NE Iberia: environmental changes, sedimentary processes and human activity;QUATERNARY SCIENCE REVIEWS;2;2018;184;;26;46;https://doi.org/10.1016/j.quascirev.2017.09.008
"Shen, GQ; Zhou, L; Wu, Y; Cai, ZM";A Global Expected Risk Analysis of Fatalities, Injuries, and Damages by Natural Disasters;SUSTAINABILITY;0;2018;10;7;;;https://doi.org/10.3390/su10072573
"Glasgow, HB; Burkholder, JM; Reed, RE; Lewitus, AJ; Kleinman, JE";Real-time remote monitoring of water quality: a review of current applications, and advancements in sensor, telemetry, and computing technologies;JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY;208;2004;300;02. Jan;409;448;https://doi.org/10.1016/j.jembe.2004.02.022
Sheppard, CRC;Coral decline and weather patterns over 20 years in the Chagos Archipelago, central Indian Ocean;AMBIO;44;1999;28;6;472;478;https://doi.org/
He, XJ;Information on Impacts of Climate Change and Adaptation in China;JOURNAL OF ENVIRONMENTAL INFORMATICS;10;2017;29;2;110;121;https://doi.org/10.3808/jei.201700367
"Jamshed, A; Rana, IA; Mirza, UM; Birkmann, J";Assessing relationship between vulnerability and capacity: An empirical study on rural flooding in Pakistan;INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION;3;2019;36;;;;https://doi.org/10.1016/j.ijdrr.2019.101109
"Dabkowski, J; Frodlova, J; Hajek, M; Hajkova, P; Petr, L; Fiorillo, D; Dudova, L; Horsak, M";A complete Holocene climate and environment record for the Western Carpathians (Slovakia) derived from a tufa deposit;HOLOCENE;3;2019;29;3;493;504;https://doi.org/10.1177/0959683618816443
"Omann, I; Stocker, A; Jager, J";Climate change as a threat to biodiversity: An application of the DPSIR approach;ECOLOGICAL ECONOMICS;48;2009;69;1;24;31;https://doi.org/10.1016/j.ecolecon.2009.01.003
"La Sorte, FA; Boecklen, WJ";Temporal turnover of common species in avian assemblages in North America;JOURNAL OF BIOGEOGRAPHY;28;2005;32;7;1151;1160;https://doi.org/10.1111/j.1365-2699.2005.01271.x
"Mahadev; Singh, AK; Jaiswal, MK";Application of luminescence age models to heterogeneously bleached quartz grains from flood deposits in Tamilnadu, southern India: Reconstruction of past flooding;QUATERNARY INTERNATIONAL;0;2019;513;;95;106;https://doi.org/10.1016/j.quaint.2019.02.037
"Schmitt, LHM; Graham, HM; White, PCL";Economic Evaluations of the Health Impacts of Weather-Related Extreme Events: A Scoping Review;INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;11;2016;13;11;;;https://doi.org/10.3390/ijerph13111105
"Lee, JR; Candy, I; Haslam, R";The Neogene and Quaternary of England: landscape evolution, tectonics, climate change and their expression in the geological record;PROCEEDINGS OF THE GEOLOGISTS ASSOCIATION;3;2018;129;3;452;481;https://doi.org/10.1016/j.pgeola.2017.10.003
"Bates, AE; Cooke, RSC; Duncan, MI; Edgar, GJ; Bruno, JF; Benedetti-Cecchi, L; Cote, IM; Lefcheck, JS; Costello, MJ; Barrett, N; Bird, TJ; Fenberg, PB; Stuart-Smith, RD";Climate resilience in marine protected areas and the 'Protection Paradox';BIOLOGICAL CONSERVATION;4;2019;236;;305;314;https://doi.org/10.1016/j.biocon.2019.05.005
"Bai, YP; Deng, XZ; Zhang, Y; Wang, C; Liu, Y";Does climate adaptation of vulnerable households to extreme events benefit livestock production?;JOURNAL OF CLEANER PRODUCTION;0;2019;210;;358;365;https://doi.org/10.1016/j.jclepro.2018.10.250
di Lernia, S;Building monuments, creating identity: Cattle cult as a social response to rapid environmental changes in the Holocene Sahara;QUATERNARY INTERNATIONAL;55;2006;151;;50;62;https://doi.org/10.1016/j.quaint.2006.01.014
"Mweya, CN; Kimera, SI; Stanley, G; Misinzo, G; Mboera, LEG";Climate Change Influences Potential Distribution of Infected Aedes aegypti Co-Occurrence with Dengue Epidemics Risk Areas in Tanzania;PLOS ONE;10;2016;11;9;;;https://doi.org/10.1371/journal.pone.0162649
"Faivre, N; Fritz, M; Freitas, T; de Boissezon, B; Vandewoestijne, S";Nature-Based Solutions in the EU: Innovating with nature to address social, economic and environmental challenges;ENVIRONMENTAL RESEARCH;34;2017;159;;509;518;https://doi.org/10.1016/j.envres.2017.08.032
"Breton, T; Sanchez-Gheno, JC; Alamilla, JL; Alvarez-Ramirez, J";Identification of failure type in corroded pipelines: A Bayesian probabilistic approach;JOURNAL OF HAZARDOUS MATERIALS;18;2010;179;03. Jan;628;634;https://doi.org/10.1016/j.jhazmat.2010.03.049
"Giovannotti, M; Cerioni, PN; Kalboussi, M; Aprea, G; Caputo, V";Phylogeographic inferences from the mtDNA variation of the three-toed skink, Chalcides chalcides (Reptilia : Scincidae);JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION;20;2007;;3;297;307;https://doi.org/10.1002/jez.b.21149
"Houngue, GH; Kounouhewa, BB; Almar, R; Sohou, Z; Lefebvre, JP; Houepkonheha, M; Tokpohozin, B";Waves Forcing Climate on Benin Coast, and the Link with Climatic Index, Gulf of Guinea (West Africa);JOURNAL OF COASTAL RESEARCH;0;2018;;;130;137;https://doi.org/10.2112/SI81-017.1
"Obeysekera, J; Salas, JD";Quantifying the Uncertainty of Design Floods under Nonstationary Conditions;JOURNAL OF HYDROLOGIC ENGINEERING;53;2014;19;7;1438;1446;https://doi.org/10.1061/(ASCE)HE.1943-5584.0000931
"Barrett, SCH; Husband, BC";Ecology and genetics of ephemeral plant populations: Eichhornia paniculata (Pontederiaceae) in northeast Brazil;JOURNAL OF HEREDITY;23;1997;88;4;277;284;https://doi.org/10.1093/oxfordjournals.jhered.a023105
"Maugeri, M; Brunetti, M; Garzoglio, M; Simolo, C";High-resolution analysis of 1 day extreme precipitation in Sicily;NATURAL HAZARDS AND EARTH SYSTEM SCIENCES;5;2015;15;10;2347;2358;https://doi.org/10.5194/nhess-15-2347-2015
"Abera, TA; Heiskanen, J; Pellikka, P; Maeda, EE";Rainfall-vegetation interaction regulates temperature anomalies during extreme dry events in the Horn of Africa;GLOBAL AND PLANETARY CHANGE;5;2018;167;;35;45;https://doi.org/10.1016/j.gloplacha.2018.05.002
De Kloet, ER;Hormones and the stressed brain;STRESS: CURRENT NEUROENDOCRINE AND GENETIC APPROACHES;181;2004;1018;;1;15;https://doi.org/10.1196/annals.1296.001
"Dezileau, L; Perez-Ruzafa, A; Blanchemanche, P; Degeai, JP; Raji, O; Martinez, P; Marcos, C; Von Grafenstein, U";Extreme storms during the last 6500 years from lagoonal sedimentary archives in the Mar Menor (SE Spain);CLIMATE OF THE PAST;13;2016;12;6;1389;1400;https://doi.org/10.5194/cp-12-1389-2016
"Pazzi, V; Morelli, S; Pratesi, F; Sodi, T; Valori, L; Gambacciani, L; Casagli, N";Assessing the safety of schools affected by geo-hydrologic hazards: The geohazard safety classification (GSC);INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION;17;2016;15;;80;93;https://doi.org/10.1016/j.ijdrr.2015.11.006
"Merlhiot, G; Mermillod, M; Le Pennec, JL; Mondillon, L";Introduction and validation of the Natural Disasters Picture System (NDPS);PLOS ONE;0;2018;13;8;;;https://doi.org/10.1371/journal.pone.0201942
"Burger, J; Gochfeld, M";Initiating events, functional remediation, and assessment of risk to ecological resources;ECOLOGICAL INDICATORS;3;2016;71;;32;40;https://doi.org/10.1016/j.ecolind.2016.06.012
"Berrang-Ford, L; Ford, JD; Paterson, J";Are we adapting to climate change?;GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS;386;2011;21;1;25;33;https://doi.org/10.1016/j.gloenvcha.2010.09.012
"Galvan, B; Hernandez, CM; Mallol, C; Mercier, N; Sistiaga, A; Soler, V";New evidence of early Neanderthal disappearance in the Iberian Peninsula;JOURNAL OF HUMAN EVOLUTION;36;2014;75;;16;27;https://doi.org/10.1016/j.jhevol.2014.06.002
"Peduzzi, P; Chatenoux, B; Dao, H; De Bono, A; Herold, C; Kossin, J; Mouton, F; Nordbeck, O";Global trends in tropical cyclone risk;NATURE CLIMATE CHANGE;201;2012;2;4;289;294;https://doi.org/10.1038/NCLIMATE1410
"Sofia, G; Roder, G; Dalla Fontana, G; Tarolli, P";Flood dynamics in urbanised landscapes: 100 years of climate and humans' interaction;SCIENTIFIC REPORTS;28;2017;7;;;;https://doi.org/10.1038/srep40527
Behling, H;A 2860-year high-resolution pollen and charcoal record from the Cordillera de Talamanca in Panama: a history of human and volcanic forest disturbance;HOLOCENE;30;2000;10;3;387;393;https://doi.org/10.1191/095968300668797683
"Schumann, RR; Pigati, JS";Fluvial sedimentary history of Arlington Canyon, Channel Islands National Park, California;JOURNAL OF QUATERNARY SCIENCE;0;;;;;;https://doi.org/10.1002/jqs.3123
"Splendiani, A; Fioravanti, T; Giovannotti, M; Negri, A; Ruggeri, P; Olivieri, L; Cerioni, PN; Lorenzoni, M; Barucchi, VC";The Effects of Paleoclimatic Events on Mediterranean Trout: Preliminary Evidences from Ancient DNA;PLOS ONE;13;2016;11;6;;;https://doi.org/10.1371/journal.pone.0157975
"Liu, J; Wang, SY";Analysis of human vulnerability to the extreme rainfall event on 21-22 July 2012 in Beijing, China;NATURAL HAZARDS AND EARTH SYSTEM SCIENCES;1;2013;13;11;2911;2926;https://doi.org/10.5194/nhess-13-2911-2013
"Vyberci, D; Svec, M; Fasko, P; Savinova, H; Trizna, M; Micietova, E";The effects of the 1996-2012 summer heat events on human mortality in Slovakia;MORAVIAN GEOGRAPHICAL REPORTS;6;2015;23;3;58;70;https://doi.org/10.1515/mgr-2015-0018
"Naylor, LA; Spencer, T; Lane, SN; Darby, SE; Magilligan, FJ; Macklin, MG; Moller, I";Stormy geomorphology: geomorphic contributions in an age of climate extremes;EARTH SURFACE PROCESSES AND LANDFORMS;22;2017;42;1;166;190;https://doi.org/10.1002/esp.4062
"Bagdanaviciute, I; Kelpsaite-Rimkiene, L; Galiniene, J; Soomere, T";Index based multi-criteria approach to coastal risk assesment;JOURNAL OF COASTAL CONSERVATION;1;2019;23;4;785;800;https://doi.org/10.1007/s11852-018-0638-5
"Bowman, DMJS; Williamson, GJ; Abatzoglou, JT; Kolden, CA; Cochrane, MA; Smith, AMS";Human exposure and sensitivity to globally extreme wildfire events;NATURE ECOLOGY & EVOLUTION;64;2017;1;3;;;https://doi.org/10.1038/s41559-016-0058
"Rodriguez-Morata, C; Ballesteros-Canovas, JA; Trappmann, D; Beniston, M; Stoffel, M";Regional reconstruction of flash flood history in the Guadarrama range (Central System, Spain);SCIENCE OF THE TOTAL ENVIRONMENT;13;2016;550;;406;417;https://doi.org/10.1016/j.scitotenv.2016.01.074
"Cascalheira, J; Bicho, N";Testing the impact of environmental change on hunter-gatherer settlement organization during the Upper Paleolithic in western Iberia;JOURNAL OF QUATERNARY SCIENCE;2;2018;33;3;323;334;https://doi.org/10.1002/jqs.3009
Grove, KJ;From Emergency Management to Managing Emergence: A Genealogy of Disaster Management in Jamaica;ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS;36;2013;103;3;570;588;https://doi.org/10.1080/00045608.2012.740357
"Zogning, A; Ngouanet, C; Tiafack, O";The catastrophic geomorphological processes in humid tropical Africa: A case study of the recent landslide disasters in Cameroon;SEDIMENTARY GEOLOGY;17;2007;199;02. Jan;13;27;https://doi.org/10.1016/j.sedgeo.2006.03.030
"Cole, LES; Bhagwat, SA; Willis, KJ";Long-term disturbance dynamics and resilience of tropical peat swamp forests;JOURNAL OF ECOLOGY;24;2015;103;1;16;30;https://doi.org/10.1111/1365-2745.12329
"Smoyer-Tomic, KE; Kuhn, R; Hudson, A";Heat wave hazards: An overview of heat wave impacts in Canada;NATURAL HAZARDS;101;2003;28;03. Feb;463;485;https://doi.org/
"Leira, M; Freitas, MC; Ferreira, T; Cruces, A; Connor, S; Andrade, C; Lopes, V; Bao, R";Holocene sea level and climate interactions on wet dune slack evolution in SW Portugal: A model for future scenarios?;HOLOCENE;2;2019;29;1;26;44;https://doi.org/10.1177/0959683618804633
"Stott, PA; Christidis, N; Otto, FEL; Sun, Y; Vanderlinden, JP; van Oldenborgh, GJ; Vautard, R; von Storch, H; Walton, P; Yiou, P; Zwiers, FW";Attribution of extreme weather and climate-related events;WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE;140;2016;7;1;23;41;https://doi.org/10.1002/wcc.380
"Bicho, N; Cascalheira, J; Marreiros, J; Pereira, T";Rapid climatic events and long term cultural change: The case of the Portuguese Upper Paleolithic;QUATERNARY INTERNATIONAL;6;2017;428;;3;16;https://doi.org/10.1016/j.quaint.2015.05.044
"Wu, CG; Zhou, LY; Zhang, LB; Jin, JL; Zhou, YL";Precondition cloud algorithm and Copula coupling model-based approach for drought hazard comprehensive assessment;INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION;0;2019;38;;;;https://doi.org/10.1016/j.ijdrr.2019.101220
"Philibert, A; Tourigny, C; Coulibaly, A; Fournier, P";BIRTH SEASONALITY AS A RESPONSE TO A CHANGING RURAL ENVIRONMENT (KAYES REGION, MALI);JOURNAL OF BIOSOCIAL SCIENCE;3;2013;45;4;547;565;https://doi.org/10.1017/S0021932012000703
"Luo, P; Takara, K; Apip; He, B; Nover, D";Palaeoflood simulation of the Kamo River basin using a grid- cell distributed rainfall run- off model;JOURNAL OF FLOOD RISK MANAGEMENT;14;2014;7;2;182;192;https://doi.org/10.1111/jfr3.12038
"Thaler, T; Seebauer, S";Bottom-up citizen initiatives in natural hazard management: Why they appear and what they can do?;ENVIRONMENTAL SCIENCE & POLICY;2;2019;94;;101;111;https://doi.org/10.1016/j.envsci.2018.12.012
"Perry, CT; Murphy, GN; Graham, NAJ; Wilson, SK; Januchowski-Hartley, FA; East, HK";Remote coral reefs can sustain high growth potential and may match future sea-level trends;SCIENTIFIC REPORTS;41;2015;5;;;;https://doi.org/10.1038/srep18289
"Crombe, P; De Smedt, P; Davies, NS; Gelorini, V; Zwertvaegher, A; Langohr, R; Van Damme, D; Demiddele, H; Van Strydonck, M; Antrop, M; Bourgeois, J; De Maeyer, P; De Reu, J; Finke, PA; Van Meirvenne, M; Verniers, J";Hunter-gatherer responses to the changing environment of the Moervaart palaeolake (Nw Belgium). during the Late Glacial and Early Holocene;QUATERNARY INTERNATIONAL;18;2013;308;;162;177;https://doi.org/10.1016/j.quaint.2013.05.035
"Huang, RJ; Zhang, YL; Bozzetti, C; Ho, KF; Cao, JJ; Han, YM; Daellenbach, KR; Slowik, JG; Platt, SM; Canonaco, F; Zotter, P; Wolf, R; Pieber, SM; Bruns, EA; Crippa, M; Ciarelli, G; Piazzalunga, A; Schwikowski, M; Abbaszade, G; Schnelle-Kreis, J; Zimmermann, R; An, ZS; Szidat, S; Baltensperger, U; El Haddad, I; Prevot, ASH";High secondary aerosol contribution to particulate pollution during haze events in China;NATURE;1454;2014;514;7521;218;222;https://doi.org/10.1038/nature13774
"Huang, KY; Zheng, Z; Liao, WB; Cao, LL; Zheng, YW; Zhang, H; Zhu, GQ; Zhang, Z; Cheddadi, R";Reconstructing late Holocene vegetation and fire histories in monsoonal region of southeastern China;PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY;11;2014;393;;102;110;https://doi.org/10.1016/j.palaeo.2013.11.005
Rana, SVS;CHEMICAL DISASTERS AND THEIR MANAGEMENT-AN OVERVIEW;EVERYMANS SCIENCE;0;2019;53;6;373;380;https://doi.org/
"Sun, P; Zhang, Q; Lu, XX; Bai, YG";Changing properties of low flow of the Tarim River basin: Possible causes and implications;QUATERNARY INTERNATIONAL;13;2012;282;;78;86;https://doi.org/10.1016/j.quaint.2012.07.013
"Eisner, WR; Cuomo, CJ; Hinkel, KM; Jones, BM; Brower, RH";Advancing Landscape Change Research through the Incorporation of Inupiaq Knowledge;ARCTIC;11;2009;62;4;429;442;https://doi.org/
"Wilhelmi, OV; Morss, RE";Integrated analysis of societal vulnerability in an extreme precipitation event: A Fort Collins case study;ENVIRONMENTAL SCIENCE & POLICY;19;2013;26;;49;62;https://doi.org/10.1016/j.envsci.2012.07.005
"Stager, JC; Cumming, BF; Laird, KR; Garrigan-Piela, A; Pederson, N; Wiltse, B; Lane, CS; Nester, J; Ruzmaikin, A";A 1600-year diatom record of hydroclimate variability from Wolf Lake, New York;HOLOCENE;5;2017;27;2;246;257;https://doi.org/10.1177/0959683616658527
"Jacobs, Z; Roberts, RG; Nespoulet, R; El Hajraoui, MA; Debenath, A";Single-grain OSL chronologies for Middle Palaeolithic deposits at El Mnasra and El Harhoura 2, Morocco: Implications for Late Pleistocene human-environment interactions along the Atlantic coast of northwest Africa;JOURNAL OF HUMAN EVOLUTION;70;2012;62;3;377;394;https://doi.org/10.1016/j.jhevol.2011.12.001
"van Putten, I; Villanueva, C; Cvitanovic, C";The Influence of Community Size and Location on Different Dimensions of Vulnerability: a case study of Australian coastal communities;AUSTRALIAN GEOGRAPHER;0;2017;48;1;121;142;https://doi.org/10.1080/00049182.2016.1168727
"Manninen, MA; Tallavaara, M; Seppa, H";Human responses to early Holocene climate variability in eastern Fennoscandia;QUATERNARY INTERNATIONAL;4;2018;465;;287;297;https://doi.org/10.1016/j.quaint.2017.08.043
"Yang, LP; Liao, WM; Liu, CJ; Zhang, N; Zhong, S; Huang, CR";Associations between Knowledge of the Causes and Perceived Impacts of Climate Change: A Cross-Sectional Survey of Medical, Public Health and Nursing Students in Universities in China;INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;0;2018;15;12;;;https://doi.org/10.3390/ijerph15122650
"Yao, F; Wang, Y";Tracking urban geo-topics based on dynamic topic model;COMPUTERS ENVIRONMENT AND URBAN SYSTEMS;0;2020;79;;;;https://doi.org/10.1016/j.compenvurbsys.2019.101419
"Sparrow, S; Su, Q; Tian, FX; Li, SH; Chen, Y; Chen, W; Luo, FF; Freychet, N; Lott, FC; Dong, BW; Tett, SFB; Wallom, D";Attributing human influence on the July 2017 Chinese heatwave: the influence of sea-surface temperatures;ENVIRONMENTAL RESEARCH LETTERS;3;2018;13;11;;;https://doi.org/10.1088/1748-9326/aae356
Singh, DS;Surface processes during flash floods in the glaciated terrain of Kedarnath, Garhwal Himalaya and their role in the modification of landforms;CURRENT SCIENCE;20;2014;106;4;594;597;https://doi.org/
"Ajmone-Marsan, F; Padoan, E; Madrid, F; Vrscaj, B; Biasioli, M; Davidson, CM";Metal Release under Anaerobic Conditions of Urban Soils of Four European Cities;WATER AIR AND SOIL POLLUTION;0;2019;230;3;;;https://doi.org/10.1007/s11270-019-4101-5
Lefale, PF;Ua 'afa le Aso Stormy weather today: traditional ecological knowledge of weather and climate. The Samoa experience;CLIMATIC CHANGE;70;2010;100;2;317;335;https://doi.org/10.1007/s10584-009-9722-z
"Ju, CY; Jia, YG; Shan, HX; Tang, CW; Ma, WJ";GIS-based coastal area suitability assessment of geo-environmental factors in Laoshan district, Qingdao;NATURAL HAZARDS AND EARTH SYSTEM SCIENCES;15;2012;12;1;143;150;https://doi.org/10.5194/nhess-12-143-2012
"Nishina, K; Hayashi, S";Modeling radionuclide Cs and C dynamics in an artificial forest ecosystem in Japan -FoRothCs ver1.0-;FRONTIERS IN ENVIRONMENTAL SCIENCE;3;2015;3;;;;https://doi.org/10.3339/fenvs.2015.00061
"Machado, PM; Costa, LL; Suciu, MC; Tavares, DC; Zalmon, IR";Extreme storm wave influence on sandy beach macrofauna with distinct human pressures;MARINE POLLUTION BULLETIN;15;2016;107;1;125;135;https://doi.org/10.1016/j.marpolbul.2016.04.009
"Parenti, N; Del Grosso, A; Antoni, C; Cecchini, M; Corradetti, R; Pavone, FS; Calamai, M";Direct imaging of APP proteolysis in living cells;PEERJ;0;2017;5;;;;https://doi.org/10.7717/peerj.3086
"Cornetti, L; Ficetola, GF; Hoban, S; Vernesi, C";Genetic and ecological data reveal species boundaries between viviparous and oviparous lizard lineages;HEREDITY;14;2015;115;6;517;526;https://doi.org/10.1038/hdy.2015.54
"Kappenberg, A; Lehndorff, E; Pickarski, N; Litt, T; Amelung, W";Solar controls of fire events during the past 600,000 years;QUATERNARY SCIENCE REVIEWS;0;2019;208;;97;104;https://doi.org/10.1016/j.quascirev.2019.02.008
Kale, VS;Is flooding in South Asia getting worse and more frequent?;SINGAPORE JOURNAL OF TROPICAL GEOGRAPHY;8;2014;35;2;161;178;https://doi.org/10.1111/sjtg.12060
"Carlier, B; Puissant, A; Dujarric, C; Arnaud-Fassetta, G";Upgrading of an index-oriented methodology for consequence analysis of natural hazards: application to the Upper Guil catchment (southern French Alps);NATURAL HAZARDS AND EARTH SYSTEM SCIENCES;2;2018;18;8;2221;2239;https://doi.org/10.5194/nhess-18-2221-2018
"Kravtsov, S; Roebber, P; Brazauskas, V";A virtual climate library of surface temperature over North America for 1979-2015;SCIENTIFIC DATA;0;2017;4;;;;https://doi.org/10.1038/sdata.2017.155
"Chang, SE; McDaniels, T; Fox, J; Dhariwal, R; Longstaff, H";Toward Disaster-Resilient Cities: Characterizing Resilience of Infrastructure Systems with Expert Judgments;RISK ANALYSIS;76;2014;34;3;416;434;https://doi.org/10.1111/risa.12133
"Pickell, PD; Coops, NC; Ferster, CJ; Bater, CW; Blouin, KD; Flannigan, MD; Zhang, JK";An early warning system to forecast the close of the spring burning window from satellite-observed greenness;SCIENTIFIC REPORTS;3;2017;7;;;;https://doi.org/10.1038/s41598-017-14730-0
"Magny, M; Begeot, C; Guiot, J; Marguet, A; Billaud, Y";Reconstruction and palaeoclimatic interpretation of mid-Holocene vegetation and lake-level changes at Saint-Jorioz, Lake Annecy, French Pre-Alps;HOLOCENE;34;2003;13;2;265;275;https://doi.org/10.1191/0959683603hl612rp
"Deino, AL; Sier, MJ; Garello, D; Keller, B; Kingston, J; Scott, J; Dupont-Nivet, G; Cohen, A";Chronostratigraphy of the Baringo-Tugen-Barsemoi (HSPDP-BTB13-1A) core-Ar-40/Ar-39 dating, magnetostratigraphy, tephrostratigraphy, sequence stratigraphy and Bayesian age modeling;PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY;0;2019;532;;;;https://doi.org/10.1016/j.palaeo.2019.109258
"McWethy, DB; Whitlock, C; Wilmshurst, JM; McGlone, MS; Fromont, M; Li, X; Dieffenbacher-Krall, A; Hobbs, WO; Fritz, SC; Cook, ER";Rapid landscape transformation in South Island, New Zealand, following initial Polynesian settlement;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;140;2010;107;50;21343;21348;https://doi.org/10.1073/pnas.1011801107
